"HHID","APCode","a6cq2","a6cq3a","a6cq3b","a6cq3c","a6cq3d","a6cq3e","a6cq4a","a6cq4b","a6cq4c","a6cq5a","a6cq5b","a6cq5c","a6cq6","a6cq7","a6cq8","a6cq9","a6cq10","a6cq11","a6cq12","a6cq13a","a6cq13b","a6cq14a","a6cq14b","a6cq15","a6cq15b","a6cq15c","a6cq16","hh","wgt_X"
48020402,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04802-04-02",930.822265625
48020402,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04802-04-02",930.822265625
48020402,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04802-04-02",930.822265625
48020402,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04802-04-02",930.822265625
48030402,23,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04803-04-02",2792.466796875
48030402,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04803-04-02",2792.466796875
48030402,25,1,4,4803001,,4803001,,0,,,0,,,10,0,0,0,0,0,2,0,,2,7000,2,1,3,1,"H04803-04-02",2792.466796875
48030402,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04803-04-02",2792.466796875
48030402,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04803-04-02",2792.466796875
48040401,23,1,4,4804002,,4804002,,0,,,0,,,6,8,0,0,0,8,0,0,,0,,2,4,3,1,"H04804-04-01",2792.466796875
48040401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04804-04-01",2792.466796875
48040401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04804-04-01",2792.466796875
48040401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04804-04-01",2792.466796875
48040401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04804-04-01",2792.466796875
48060401,23,1,0,,,,,0,,,0,,,8,12,0,0,20,0,0,0,,0,,0,1,1,1,"H04806-04-01",2792.466796875
