"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H01210-04-01","P01210-002",2,2,,17,18,2,,10,18,25,2,5,2,4,413,1,102,15,4,413,9,2,1874.79809570313
"H01210-04-01","P01210-003",3,1,"P01210-001",,,1,"P01210-002",,,25,2,5,2,4,413,1,102,6,4,413,2,2,1874.79809570313
"H01210-04-01","P01210-004",4,1,"P01210-001",,,1,"P01210-002",,,25,2,5,2,4,413,1,102,6,4,413,2,1,1874.79809570313
"H01210-04-01","P01210-005",5,1,"P01210-001",,,1,"P01210-002",,,25,2,5,2,1,102,4,413,1,4,413,2,2,1874.79809570313
"H01210-04-01","P01210-006",6,1,"P01210-001",,,1,"P01210-002",,,25,2,5,2,1,102,,,100,,,,,1874.79809570313
"H01210-04-01","P01210-010",7,1,"P01210-001",,,1,"P01210-002",,,25,2,5,2,1,102,,,1,4,413,2,1,1874.79809570313
"H01401-04-01","P01401-002",1,2,,6,1,2,,6,1,17,3,,,1,102,,,100,,,,,1874.79821777344
"H01401-04-01","P01401-009",8,2,,6,1,2,,6,1,17,3,,,1,102,,,100,,,,,1874.79821777344
"H01401-04-01","P01401-010",9,2,,6,1,2,,6,1,17,3,,,1,102,,,100,,,,,1874.79821777344
"H01402-04-01","P01402-001",1,3,,,,2,,2,10,38,2,9,2,4,415,1,102,20,4,415,2,0,1874.79821777344
"H01402-04-01","P01402-003",3,3,,,,2,,2,19,38,2,9,2,4,415,4,415,3,4,415,1,1,1874.79821777344
"H01402-04-01","P01402-008",6,2,,2,19,2,,2,19,38,3,,,4,415,4,415,2,4,415,1,1,1874.79821777344
"H01402-04-01","P01402-009",7,3,,,,2,,2,19,38,3,,,4,415,4,415,0,4,415,1,1,1874.79821777344
"H01406-04-01","P01406-001",1,2,,17,5,2,,1,13,45,3,,,2,219,1,102,27,2,219,1,0,1874.79821777344
"H01406-04-01","P01406-002",2,1,"P01406-001",,,2,,2,19,45,3,,,1,102,,,100,,,,,1874.79821777344
"H01406-04-01","P01406-003",3,1,"P01406-001",,,2,,2,19,45,3,,,1,102,,,100,,,,,1874.79821777344
"H01406-04-01","P01406-004",4,1,"P01406-001",,,2,,2,19,45,3,,,1,102,,,100,,,,,1874.79821777344
"H01406-04-01","P01406-005",5,1,"P01406-001",,,2,,2,19,45,3,,,2,219,1,102,9,2,219,8,0,1874.79821777344
"H01406-04-01","P01406-006",6,2,,61,88,1,"P01406-002",,,45,3,,,1,102,,,100,,,,,1874.79821777344
"H01409-04-01","P01409-001",1,3,,,,3,,,,17,2,9,2,1,102,1,102,20,1,106,1,0,1874.79821777344
"H01601-04-01","P01601-001",1,3,,,,3,,,,17,3,,,1,112,1,102,10,1,112,1,0,1874.79821777344
"H01601-04-01","P01601-007",6,2,,99,19,2,,13,19,18,3,,,2,209,2,209,2,2,209,9,2,1874.79821777344
"H01601-04-01","P01601-008",7,1,"P01601-001",,,1,"P01601-007",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H01604-04-01","P01604-001",1,3,,,,2,,16,10,32,3,,,4,407,1,102,51,4,407,1,0,1874.79821777344
"H01604-04-01","P01604-013",2,2,,51,9,2,,51,1,32,3,,,4,407,1,102,6,4,407,2,0,1874.79821777344
"H01605-04-01","P01605-001",1,3,,,,3,,,,50,2,2,2,3,303,1,102,21,1,102,2,0,1874.79821777344
"H01605-04-01","P01605-002",9,2,,51,1,1,"P01605-001",,,12,2,2,2,1,102,1,102,21,1,102,14,0,1874.79821777344
"H01605-04-01","P01605-008",15,3,,,,3,,,,50,2,2,2,3,303,1,102,10,1,102,96,3,1874.79821777344
"H01605-04-01","P01605-010",17,2,,73,19,2,,73,19,12,2,2,2,3,303,3,303,5,3,303,1,1,1874.79821777344
"H01605-04-01","P01605-015",22,2,,1,19,2,,1,19,50,2,2,2,3,319,3,319,3,3,319,1,1,1874.79821777344
"H01605-04-01","P01605-021",5,3,,,,2,,17,19,50,2,2,2,3,319,3,319,3,3,319,8,1,1874.79821777344
