"HHID","PID","T6FQ02a","T6FQ02b","wgt_X"
"H02706-04-01","P02706-014",2,,1874.79821777344
"H02706-04-01","P02706-015",2,,1874.79821777344
"H02706-04-01","P02706-009",1,6,1874.79821777344
"H02710-04-01","P02710-005",1,14,1874.79821777344
"H02710-04-01","P02710-011",2,,1874.79821777344
"H02710-04-01","P02710-006",2,,1874.79821777344
"H02710-04-01","P02710-009",1,14,1874.79821777344
"H02710-04-01","P02710-002",2,,1874.79821777344
"H02710-04-01","P02710-012",2,,1874.79821777344
"H02710-04-01","P02710-004",2,,1874.79821777344
"H02710-04-01","P02710-010",1,12,1874.79821777344
"H02710-04-01","P02710-001",2,,1874.79821777344
"H02710-04-01","P02710-007",2,,1874.79821777344
"H02711-04-01","P02711-003",1,11,624.932739257813
"H02711-04-01","P02711-001",2,,624.932739257813
"H02711-04-02","P02711-004",1,5,624.932739257813
"H02711-04-02","P02711-006",1,5,624.932739257813
"H02711-04-03","P02711-012",2,,624.932739257813
"H02711-04-03","P02711-009",1,14,624.932739257813
"H02711-04-03","P02711-008",1,7,624.932739257813
"H02711-04-03","P02711-011",2,,624.932739257813
"H02711-04-03","P02711-010",2,,624.932739257813
"H02711-04-03","P02711-005",2,,624.932739257813
"H02802-04-01","P02802-001",2,,1874.79821777344
"H02802-04-01","P02802-003",1,14,1874.79821777344
"H02802-04-01","P02802-007",2,,1874.79821777344
"H02802-04-01","P02802-004",2,,1874.79821777344
"H02802-04-01","P02802-006",2,,1874.79821777344
"H02802-04-01","P02802-005",2,,1874.79821777344
"H02802-04-01","P02802-002",2,,1874.79821777344
"H02803-04-01","P02803-003",2,,1874.79821777344
"H02803-04-01","P02803-005",2,,1874.79821777344
"H02803-04-01","P02803-002",2,,1874.79821777344
"H02803-04-01","P02803-004",2,,1874.79821777344
"H02803-04-01","P02803-006",2,,1874.79821777344
"H02803-04-01","P02803-001",2,,1874.79821777344
"H02811-04-01","P02811-003",1,14,1874.79821777344
"H02811-04-01","P02811-005",1,14,1874.79821777344
"H02811-04-01","P02811-006",1,14,1874.79821777344
"H02811-04-01","P02811-002",1,14,1874.79821777344
"H02811-04-01","P02811-004",2,,1874.79821777344
"H02811-04-01","P02811-001",2,,1874.79821777344
"H03001-04-01","P03001-002",2,,1874.79821777344
"H03001-04-01","P03001-003",2,,1874.79821777344
"H03001-04-01","P03001-004",2,,1874.79821777344
"H03001-04-01","P03001-006",2,,1874.79821777344
"H03001-04-01","P03001-005",1,14,1874.79821777344
"H03001-04-01","P03001-001",1,2,1874.79821777344
"H03003-04-01","P03003-001",1,6,1874.79821777344
"H03003-04-01","P03003-006",2,,1874.79821777344
"H03003-04-01","P03003-002",2,,1874.79821777344
"H03003-04-01","P03003-003",2,,1874.79821777344
"H03003-04-01","P03003-004",2,,1874.79821777344
"H03005-04-01","P03005-006",2,,1874.79821777344
"H03005-04-01","P03005-004",2,,1874.79821777344
"H03005-04-01","P03005-003",2,,1874.79821777344
"H03005-04-01","P03005-001",2,,1874.79821777344
"H03005-04-01","P03005-005",2,,1874.79821777344
"H03005-04-01","P03005-002",2,,1874.79821777344
"H03006-04-01","P03006-010",2,,1874.79821777344
"H03006-04-01","P03006-011",2,,1874.79821777344
"H03006-04-01","P03006-001",2,,1874.79821777344
"H03006-04-01","P03006-002",2,,1874.79821777344
"H03006-04-01","P03006-003",2,,1874.79821777344
"H03006-04-01","P03006-004",2,,1874.79821777344
"H03006-04-01","P03006-013",2,,1874.79821777344
"H03006-04-01","P03006-008",2,,1874.79821777344
"H03006-04-01","P03006-012",2,,1874.79821777344
"H03010-04-01","P03010-003",2,,1874.79821777344
"H03010-04-01","P03010-006",2,,1874.79821777344
"H03010-04-01","P03010-001",2,,1874.79821777344
"H03010-04-01","P03010-002",2,,1874.79821777344
"H03010-04-01","P03010-005",2,,1874.79821777344
"H03010-04-01","P03010-004",2,,1874.79821777344
"H03401-04-01","P03401-007",2,,1874.79821777344
"H03401-04-01","P03401-008",,,1874.79821777344
"H03401-04-01","P03401-006",1,8,1874.79821777344
"H03401-04-01","P03401-002",1,7,1874.79821777344
"H03401-04-01","P03401-005",1,1,1874.79821777344
"H03401-04-01","P03401-009",,,1874.79821777344
"H03408-04-01","P03408-004",2,,1874.79821777344
"H03408-04-01","P03408-003",2,,1874.79821777344
"H03408-04-01","P03408-006",2,,1874.79821777344
"H03408-04-01","P03408-001",2,,1874.79821777344
"H03408-04-01","P03408-005",2,,1874.79821777344
"H03409-04-01","P03409-010",2,,937.399108886719
"H03409-04-01","P03409-011",2,,937.399108886719
"H03409-04-01","P03409-014",2,,937.399108886719
"H03409-04-01","P03409-018",2,,937.399108886719
"H03409-04-01","P03409-009",2,,937.399108886719
"H03409-04-01","P03409-004",2,,937.399108886719
"H03409-04-01","P03409-013",2,,937.399108886719
"H03409-04-01","P03409-033",1,14,937.399108886719
"H03409-04-01","P03409-008",1,14,937.399108886719
"H03409-04-01","P03409-020",2,,937.399108886719
"H03409-04-01","P03409-003",2,,937.399108886719
"H03409-04-01","P03409-005",2,,937.399108886719
"H03409-04-01","P03409-001",2,,937.399108886719
"H03409-04-01","P03409-034",2,,937.399108886719
"H03409-04-01","P03409-035",2,,937.399108886719
"H03409-04-01","P03409-016",2,,937.399108886719
"H03409-04-01","P03409-006",2,,937.399108886719
"H03409-04-01","P03409-019",2,,937.399108886719
"H03409-04-02","P03409-036",2,,937.399108886719
"H03409-04-02","P03409-002",2,,937.399108886719
"H03409-04-02","P03409-037",2,,937.399108886719
"H03410-04-01","P03410-002",2,,937.399108886719
